Symbol,Name,MarketCap,Sector,Industry
HHS,"Harte-Hanks, Inc.",96099483.48,Technology,Advertising
IPG,"Interpublic Group of Companies, Inc. (The)",9361495022,Technology,Advertising
OMC,Omnicom Group Inc.,20122994034,Technology,Advertising
TRMR,"Tremor Video, Inc.",125217319.5,Technology,Advertising
YUME,"YuMe, Inc.",125192470.6,Technology,Advertising
ATEN,"A10 Networks, Inc.",567889094.5,Technology,Computer Communications Equipment
ANET,"Arista Networks, Inc.",7039881598,Technology,Computer Communications Equipment
JNPR,"Juniper Networks, Inc.",10599606191,Technology,Computer Communications Equipment
SSNI,"Silver Spring Networks, Inc.",691753311.8,Technology,Computer Communications Equipment
DVMT,Dell Technologies Inc.,12571822382,Technology,Computer Manufacturing
FIT,"Fitbit, Inc.",1664691749,Technology,Computer Manufacturing
HPE,Hewlett Packard Enterprise Company,38190906499,Technology,Computer Manufacturing
HPQ,HP Inc.,25189511890,Technology,Computer Manufacturing
IBM,International Business Machines Corporation,1.59116E+11,Technology,Computer Manufacturing
TDC,Teradata Corporation,3703449000,Technology,Computer Manufacturing
CUDA,"Barracuda Networks, Inc.",1277716426,Technology,Computer peripheral equipment
PANW,"Palo Alto Networks, Inc.",12696736965,Technology,Computer peripheral equipment
DDD,3D Systems Corporation,1810114654,Technology,Computer Software: Prepackaged Software
AMBR,"Amber Road, Inc.",252907215.5,Technology,Computer Software: Prepackaged Software
BKFS,"Black Knight Financial Services, Inc.",5679546968,Technology,Computer Software: Prepackaged Software
BOX,"Box, Inc.",2193695089,Technology,Computer Software: Prepackaged Software
ECOM          ,ChannelAdvisor Corporation,384192536.6,Technology,Computer Software: Prepackaged Software
CMCM,Cheetah Mobile Inc.,1468508811,Technology,Computer Software: Prepackaged Software
STV,"China Digital TV Holding Co., Ltd.",85283712.36,Technology,Computer Software: Prepackaged Software
ELLI,"Ellie Mae, Inc.",2766415926,Technology,Computer Software: Prepackaged Software
GWRE,"Guidewire Software, Inc.",3945333599,Technology,Computer Software: Prepackaged Software
HUBS,"HubSpot, Inc.",1837401335,Technology,Computer Software: Prepackaged Software
INST,"Instructure, Inc.",593149956,Technology,Computer Software: Prepackaged Software
IL,"IntraLinks Holdings, Inc.",752647090,Technology,Computer Software: Prepackaged Software
MIXT,MiX Telematics Limited,160356266.8,Technology,Computer Software: Prepackaged Software
MBLY,Mobileye N.V.,9230984597,Technology,Computer Software: Prepackaged Software
NEWR,"New Relic, Inc.",1664277747,Technology,Computer Software: Prepackaged Software
NQ,NQ Mobile Inc.,303163677.3,Technology,Computer Software: Prepackaged Software
ORCL,Oracle Corporation,1.61058E+11,Technology,Computer Software: Prepackaged Software
PAYC,"Paycom Software, Inc.",2928623413,Technology,Computer Software: Prepackaged Software
QTWO,"Q2 Holdings, Inc.",1210180689,Technology,Computer Software: Prepackaged Software
RST,Rosetta Stone,189531847.4,Technology,Computer Software: Prepackaged Software
CRM,Salesforce.com Inc,52698388000,Technology,Computer Software: Prepackaged Software
SAP,SAP SE,1.09877E+11,Technology,Computer Software: Prepackaged Software
NOW,"ServiceNow, Inc.",13865980000,Technology,Computer Software: Prepackaged Software
SHOP,Shopify Inc.,3705071908,Technology,Computer Software: Prepackaged Software
SQ,"Square, Inc.",5194049881,Technology,Computer Software: Prepackaged Software
DATA,"Tableau Software, Inc.",3428709620,Technology,Computer Software: Prepackaged Software
TWLO,Twilio Inc.,2436130531,Technology,Computer Software: Prepackaged Software
TYL,"Tyler Technologies, Inc.",5543556990,Technology,Computer Software: Prepackaged Software
VEEV,Veeva Systems Inc.,6105098379,Technology,Computer Software: Prepackaged Software
VMW,"Vmware, Inc.",33752518639,Technology,Computer Software: Prepackaged Software
WK,Workiva Inc.,564650404.6,Technology,Computer Software: Prepackaged Software
XTLY,Xactly Corporation,369712844.6,Technology,Computer Software: Prepackaged Software
WUBA,58.com Inc.,4364253217,Technology,"Computer Software: Programming, Data Processing"
FDS,FactSet Research Systems Inc.,6735766401,Technology,"Computer Software: Programming, Data Processing"
INXN,InterXion Holding N.V.,2645781660,Technology,"Computer Software: Programming, Data Processing"
LN,LINE Corporation,7917179620,Technology,"Computer Software: Programming, Data Processing"
MODN,"Model N, Inc.",254362521.8,Technology,"Computer Software: Programming, Data Processing"
RHT,"Red Hat, Inc.",13079207166,Technology,"Computer Software: Programming, Data Processing"
RUBI,"The Rubicon Project, Inc.",421245929.1,Technology,"Computer Software: Programming, Data Processing"
TWTR,"Twitter, Inc.",12332076233,Technology,"Computer Software: Programming, Data Processing"
AAN,"Aaron&#39;s,  Inc.",2326134547,Technology,Diversified Commercial Services
AER,Aercap Holdings N.V.,7814976262,Technology,Diversified Commercial Services
AL,Air Lease Corporation,3636539406,Technology,Diversified Commercial Services
AYR,Aircastle Limited,1748036754,Technology,Diversified Commercial Services
CAI,"CAI International, Inc.",247746889,Technology,Diversified Commercial Services
EXTN,Exterran Corporation,1108881397,Technology,Diversified Commercial Services
KFY,Korn/Ferry International,1642274748,Technology,Diversified Commercial Services
NEFF,Neff Corporation,466577387.8,Technology,Diversified Commercial Services
TGH,Textainer Group Holdings Limited,574396589.6,Technology,Diversified Commercial Services
TRTN,Triton International Limited,636848199.4,Technology,Diversified Commercial Services
URI,"United Rentals, Inc.",9016232618,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",292955005.2,Technology,EDP Services
ATHM,Autohome Inc.,3367895640,Technology,EDP Services
RATE,"Bankrate, Inc.",1009494920,Technology,EDP Services
BITA,Bitauto Holdings Limited,1572239536,Technology,EDP Services
CACI,"CACI International, Inc.",3013137733,Technology,EDP Services
CSLT,"Castlight Health, inc.",417219360,Technology,EDP Services
CBR,"Ciber, Inc.",54580530.83,Technology,EDP Services
CSC,Computer Sciences Corporation,8771375880,Technology,EDP Services
CVG,Convergys Corporation,2450055017,Technology,EDP Services
CLGX,"CoreLogic, Inc.",3095390950,Technology,EDP Services
CSRA,CSRA Inc.,5401234919,Technology,EDP Services
DST,"DST Systems, Inc.",3583759617,Technology,EDP Services
EPAM,"EPAM Systems, Inc.",3418896884,Technology,EDP Services
EVTC,"Evertec, Inc.",1311296219,Technology,EDP Services
SFUN,Fanf Holdings Limited,1810311455,Technology,EDP Services
GIMO,Gigamon Inc.,1638361899,Technology,EDP Services
GLOB,Globant S.A.,1190595000,Technology,EDP Services
GDDY,GoDaddy Inc.,5841897292,Technology,EDP Services
INFY,Infosys Limited,33141950085,Technology,EDP Services
LFGR,Leaf Group Ltd.,133389821.3,Technology,EDP Services
LDOS,"Leidos Holdings, Inc.",7512173250,Technology,EDP Services
LOCK,"LifeLock, Inc.",2259711480,Technology,EDP Services
LXFT,"Luxoft Holding, Inc.",1961016428,Technology,EDP Services
MRIN,Marin Software Incorporated,90814391.7,Technology,EDP Services
OOMA,"Ooma, Inc.",161069130,Technology,EDP Services
PRO,"PROS Holdings, Inc.",662370973.6,Technology,EDP Services
RENN,Renren Inc.,577860339.9,Technology,EDP Services
RNG,"Ringcentral, Inc.",1655648820,Technology,EDP Services
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,3721543878,Technology,EDP Services
SSTK,"Shutterstock, Inc.",1784879746,Technology,EDP Services
UIS,Unisys Corporation,688645663.8,Technology,EDP Services
WIT,Wipro Limited,23587478438,Technology,EDP Services
WDAY,"Workday, Inc.",16258890000,Technology,EDP Services
ZEN,"Zendesk, Inc.",2360587252,Technology,EDP Services
BHE,"Benchmark Electronics, Inc.",1505466670,Technology,Electrical Products
CLS,"Celestica, Inc.",1509641217,Technology,Electrical Products
CTS,CTS Corporation,720722002,Technology,Electrical Products
JBL,"Jabil Circuit, Inc.",4297005494,Technology,Electrical Products
PKE,Park Electrochemical Corporation,361795917.5,Technology,Electrical Products
SPA,Sparton Corporation,215128374.3,Technology,Electrical Products
IMN,Imation Corporation,30059103.66,Technology,Electronic Components
NMBL,"Nimble Storage, Inc.",737625000,Technology,Electronic Components
PSTG,"Pure Storage, Inc. ",2308559253,Technology,Electronic Components
QTM,Quantum Corporation,247347165.4,Technology,Electronic Components
ATU,Actuant Corporation,1595048470,Technology,Industrial Machinery/Components
CW,Curtiss-Wright Corporation,4307823661,Technology,Industrial Machinery/Components
DOV,Dover Corporation,12373375328,Technology,Industrial Machinery/Components
ETN,"Eaton Corporation, PLC",31013722000,Technology,Industrial Machinery/Components
GHM,Graham Corporation,218934533.5,Technology,Industrial Machinery/Components
ITW,Illinois Tool Works Inc.,43310475362,Technology,Industrial Machinery/Components
JBT,John Bean Technologies Corporation,2485621207,Technology,Industrial Machinery/Components
KAI,Kadant Inc,660342556.5,Technology,Industrial Machinery/Components
MFS,"Manitowoc Food Service, Inc.",2680088662,Technology,Industrial Machinery/Components
MCRN,Milacron Holdings Corp.,1300057544,Technology,Industrial Machinery/Components
PNR,Pentair plc.,10669945654,Technology,Industrial Machinery/Components
RXN,Rexnord Corporation,2193952453,Technology,Industrial Machinery/Components
SPXC,SPX Corporation,1040059325,Technology,Industrial Machinery/Components
FLOW,"SPX FLOW, Inc.",1470148220,Technology,Industrial Machinery/Components
SXI,Standex International Corporation,1126504449,Technology,Industrial Machinery/Components
TNC,Tennant Company,1205941727,Technology,Industrial Machinery/Components
AMN,AMN Healthcare Services Inc,1787438647,Technology,Professional Services
CDI,CDI Corporation,157642845.1,Technology,Professional Services
NSP,"Insperity, Inc.",1544698148,Technology,Professional Services
MAN,ManpowerGroup,6255231432,Technology,Professional Services
ASGN,"On Assignment, Inc.",2378464622,Technology,Professional Services
RHI,Robert Half International Inc.,6432716830,Technology,Professional Services
SRT,"StarTek, Inc.",135264857.4,Technology,Professional Services
TMH,"Team Health Holdings, Inc.",3240941887,Technology,Professional Services
TBI,"TrueBlue, Inc.",1025858093,Technology,Professional Services
ZPIN,Zhaopin Limited,969085639.2,Technology,Professional Services
LLL,"L3 Technologies, Inc.",11510518548,Technology,Radio And Television Broadcasting And Communications Equipment
MSI,"Motorola Solutions, Inc.",13653814266,Technology,Radio And Television Broadcasting And Communications Equipment
NOK,Nokia Corporation,27721261307,Technology,Radio And Television Broadcasting And Communications Equipment
DCM,"NTT DOCOMO, Inc",89248933044,Technology,Radio And Television Broadcasting And Communications Equipment
SNX,Synnex Corporation,4990984179,Technology,Retail: Computer Software & Peripheral Equipment
ASX,"Advanced Semiconductor Engineering, Inc.",8315154788,Technology,Semiconductors
AUO,AU Optronics Corp,3878570779,Technology,Semiconductors
DQ,DAQO New Energy Corp.,222545765.8,Technology,Semiconductors
EXAR,Exar Corporation,526554525,Technology,Semiconductors
IPHI,Inphi Corporation,1963739951,Technology,Semiconductors
INVN,"InvenSense, Inc.",1202851037,Technology,Semiconductors
JKS,JinkoSolar Holding Company Limited,496244306.6,Technology,Semiconductors
KYO,Kyocera Corporation,18569622297,Technology,Semiconductors
MX,MagnaChip Semiconductor Corporation,257238085.7,Technology,Semiconductors
MXL,"MaxLinear, Inc",1591381536,Technology,Semiconductors
NPTN,NeoPhotonics Corporation,464294280,Technology,Semiconductors
SOL,Renesola Ltd.,70746060.28,Technology,Semiconductors
SMI,Semiconductor  Manufacturing International Corporation,5901603569,Technology,Semiconductors
SQNS,Sequans Communications S.A.,182815255.4,Technology,Semiconductors
STM,STMicroelectronics N.V.,10273163244,Technology,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.52678E+11,Technology,Semiconductors
TSL,Trina Solar Limited,936935709.6,Technology,Semiconductors
UMC,United Microelectronics Corporation,4596224000,Technology,Semiconductors
YGE,Yingli Green Energy Holding Company Limited,50530328.06,Technology,Semiconductors
